CPUs Experimento Ambiente Tempo Disco
20 19 kvm 121.14 1381309708
20 20 kvm 123.10 1381129692
20 21 kvm 124.21 1381129692
20 22 kvm 121.49 1380949676
20 23 kvm 121.92 1380949676
20 24 kvm 128.35 1380949676
20 25 kvm 124.58 1381489724
20 26 kvm 122.87 1381309708
20 27 kvm 125.21 1381309708
20 28 kvm 124.25 1381129692
20 29 kvm 122.31 1380769660
20 30 kvm 120.83 1381669740
